NFatura,PreçoUnitario,ValorPedido,Quantidade,Pais,DataFatura,HoraFatura,Ano-mes,MaiorCategoria,MenorCategoria ,Descrição 
549185,0.85,10.2,12,United Kingdom,40640,0.399305555555556,2011-04,Clothes,Tops,PACK OF 20 NAPKINS PANTRY DESIGN
576381,2.95,35.4,12,United Kingdom,40862,0.393055555555556,2011-11,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD 
551192,1.25,20,16,United Kingdom,40660,0.454166666666667,2011-04,Kitchen,Cutlery,36 PENCILS TUBE SKULLS
573553,7.46,7.46,1,United Kingdom,40847,0.575,2011-10,Garden,Turf,SET 6 SCHOOL MILK BOTTLES IN CRATE
539436,2.51,2.51,1,United Kingdom,40529,0.617361111111111,2010-12,Garden,Hoses,FINE WICKER HEART 
580893,3.95,3.95,1,United Kingdom,40883,0.526388888888889,2011-12,Garden,Hoses,SEWING BOX RETROSPOT DESIGN 
568321,2.1,12.6,6,United Kingdom,40812,0.566666666666667,2011-09,Clothes,Hats,3 TRADITIONAl BISCUIT CUTTERS  SET
552949,4.95,29.7,6,United Kingdom,40675,0.500694444444444,2011-05,Clothes,Tops,BULL DOG BOTTLE OPENER
567461,2.46,44.28,18,United Kingdom,40806,0.521527777777778,2011-09,Household,Curtains,STRAWBERRY CHARLOTTE BAG
542121,1.69,3.38,2,United Kingdom,40568,0.60625,2011-01,Household,Lamps,FAIRY SOAP SOAP HOLDER
566913,0.39,1.56,4,United Kingdom,40801,0.588194444444444,2011-09,Kitchen,Cooking Knives,PACK OF 12 VINTAGE DOILY TISSUES
550477,0.55,0.55,1,United Kingdom,40651,0.584027777777778,2011-04,Household,Lamps,PACK OF 60 DINOSAUR CAKE CASES
538663,12.75,25.5,2,United Kingdom,40525,0.65625,2010-12,Household,Rugs,CAKE STAND 3 TIER MAGIC GARDEN
570715,1.25,30,24,United Kingdom,40828,0.432638888888889,2011-10,Household,Chairs,ICE CREAM PEN LIP GLOSS 
549299,1.65,16.5,10,United Kingdom,40641,0.347222222222222,2011-04,Clothes,Shoes,LUNCH BAG CARS BLUE
559902,1.65,1.65,1,United Kingdom,40737,0.551388888888889,2011-07,Kitchen,Coasters,6 RIBBONS RUSTIC CHARM
537369,4.25,4.25,1,United Kingdom,40518,0.528472222222222,2010-12,Clothes,Tops,ROSE 3 WICK MORRIS BOX CANDLE
564353,2.1,25.2,12,United Kingdom,40779,0.630555555555556,2011-08,Kitchen,Scales,HAND WARMER SCOTTY DOG DESIGN
562455,4.25,25.5,6,United Kingdom,40760,0.438888888888889,2011-08,Household,Rugs,JAM MAKING SET WITH JARS
539451,1.28,1.28,1,United Kingdom,40529,0.707638888888889,2010-12,Clothes,Shoes,12 PENCILS SMALL TUBE RED RETROSPOT
537057,2.95,2.95,1,United Kingdom,40517,0.492361111111111,2010-12,Household,Rugs,PAPER CHAIN KIT 50'S CHRISTMAS 
549568,1.45,34.8,24,United Kingdom,40643,0.63125,2011-04,Clothes,Hats,LAUNDRY 15C METAL SIGN
564758,3.29,3.29,1,United Kingdom,40785,0.44375,2011-08,Clothes,Shoes,PANTRY MAGNETIC  SHOPPING LIST
541424,2.46,2.46,1,United Kingdom,40560,0.747916666666667,2011-01,Household,Chairs,SUMMER BUTTERFLIES BAG CHARM
559000,4.95,9.9,2,United Kingdom,40729,0.510416666666667,2011-07,Household,Curtains,SPOTTY BUNTING
550438,1.25,15,12,United Kingdom,40651,0.511111111111111,2011-04,Kitchen,Cooking Knives,PINK BLUE FELT CRAFT TRINKET BOX
549556,2.55,10.2,4,United Kingdom,40643,0.536805555555556,2011-04,Clothes,Shoes,QUEENS GUARD COFFEE MUG
550474,0.83,0.83,1,United Kingdom,40651,0.581944444444444,2011-04,Kitchen,Cutlery,TRAVEL CARD WALLET SUKI
559317,7.95,7.95,1,United Kingdom,40731,0.585416666666667,2011-07,Clothes,Hats,DOORMAT RED RETROSPOT
545906,2.1,12.6,6,United Kingdom,40610,0.390972222222222,2011-03,Kitchen,Plates,3 PIECE SPACEBOY COOKIE CUTTER SET
568538,7.08,424.8,60,United Kingdom,40813,0.588194444444444,2011-09,Garden,Turf,DOORMAT NEW ENGLAND
575944,0.21,6.3,30,United Kingdom,40860,0.490277777777778,2011-11,Household,Chairs,SLEEPING CAT ERASERS
545797,2.95,2.95,1,United Kingdom,40609,0.511805555555556,2011-03,Kitchen,Plates,SET 12 LAVENDER  BOTANICAL T-LIGHTS
540349,1.65,19.8,12,United Kingdom,40549,0.588194444444444,2011-01,Clothes,Hats,PLASTERS IN TIN VINTAGE PAISLEY 
551174,3.29,3.29,1,United Kingdom,40659,0.709722222222222,2011-04,Garden,Seeds,HOMEMADE JAM SCENTED CANDLES
541592,1.63,9.78,6,United Kingdom,40562,0.630555555555556,2011-01,Household,Curtains,SCOTTIES CHILDRENS APRON
536769,1.25,25,20,United Kingdom,40514,0.615972222222222,2010-12,Clothes,Hats,3D TRADITIONAL CHRISTMAS STICKERS
581166,2.95,2.95,1,United Kingdom,40884,0.613194444444444,2011-12,Kitchen,Cutlery,PAPER CHAIN KIT 50'S CHRISTMAS 
548978,7.95,15.9,2,United Kingdom,40638,0.505555555555556,2011-04,Garden,Turf,DOORMAT NEW ENGLAND
558315,1.65,19.8,12,United Kingdom,40722,0.488888888888889,2011-06,Garden,Hoses,CLOTHES PEGS RETROSPOT PACK 24 
546009,4.25,4.25,1,United Kingdom,40610,0.65625,2011-03,Kitchen,Coasters,AIRLINE BAG VINTAGE TOKYO 78
542835,0.29,6.96,24,United Kingdom,40575,0.479166666666667,2011-02,Garden,Hoses,JASMINE VOTIVE CANDLE
558315,7.95,15.9,2,United Kingdom,40722,0.488888888888889,2011-06,Clothes,Tops,ROUND CAKE TIN VINTAGE RED
541695,8.29,8.29,1,United Kingdom,40563,0.750694444444444,2011-01,Garden,Turf,SET OF 6 SPICE TINS PANTRY DESIGN
551824,1.25,15,12,United Kingdom,40667,0.522222222222222,2011-05,Household,Curtains,SET OF SALT AND PEPPER TOADSTOOLS
553869,2.08,20.8,10,United Kingdom,40682,0.602083333333333,2011-05,Household,Curtains,JUMBO BAG VINTAGE LEAF
566602,0.83,0.83,1,United Kingdom,40799,0.670138888888889,2011-09,Kitchen,Coasters,"LETTER ""M"" BLING KEY RING"
575647,1.65,9.9,6,United Kingdom,40857,0.594444444444444,2011-11,Kitchen,Cutlery,PLASTERS IN TIN WOODLAND ANIMALS
572513,1.45,2.9,2,United Kingdom,40840,0.608333333333333,2011-10,Household,Lamps,SET OF 36 PAISLEY FLOWER DOILIES
542890,2.95,11.8,4,United Kingdom,40575,0.559027777777778,2011-02,Household,Lamps,PAPER BUNTING COLOURED LACE
547883,0.55,13.2,24,United Kingdom,40630,0.361111111111111,2011-03,Garden,Rakes,PACK OF 60 PINK PAISLEY CAKE CASES
560264,2.95,17.7,6,United Kingdom,40741,0.573611111111111,2011-07,Household,Chairs,NATURAL SLATE HEART CHALKBOARD 
539437,5.91,23.64,4,United Kingdom,40529,0.620833333333333,2010-12,Kitchen,Plates,OFFICE MUG WARMER BLACK+SILVER 
555278,4.13,4.13,1,United Kingdom,40695,0.73125,2011-06,Kitchen,Cutlery,NUMBER TILE COTTAGE GARDEN 1
581492,7.46,7.46,1,United Kingdom,40886,0.41875,2011-12,Garden,Rakes,FOOD COVER WITH BEADS SET 2 
568142,3.95,3.95,1,United Kingdom,40811,0.473611111111111,2011-09,Garden,Rakes,GLASS APOTHECARY BOTTLE ELIXIR
545764,2.95,70.8,24,United Kingdom,40609,0.5,2011-03,Clothes,Hats,PAPER CHAIN KIT EMPIRE
581015,1.95,15.6,8,United Kingdom,40884,0.399305555555556,2011-12,Kitchen,Plates,GINGHAM HEART  DOORSTOP RED
537397,2.1,25.2,12,United Kingdom,40518,0.596527777777778,2010-12,Kitchen,Coasters,HAND WARMER BABUSHKA DESIGN
543546,5.79,5.79,1,United Kingdom,40583,0.702777777777778,2011-02,Kitchen,Scales,PAPER CHAIN KIT RETROSPOT
567662,2.08,8.32,4,United Kingdom,40807,0.633333333333333,2011-09,Kitchen,Cooking Knives,JUMBO BAG SCANDINAVIAN BLUE PAISLEY
574706,3.75,15,4,United Kingdom,40853,0.5875,2011-11,Garden,Rakes,VINTAGE SNAKES & LADDERS
543815,1.65,3.3,2,United Kingdom,40587,0.6375,2011-02,Household,Curtains,EASTER TIN CHICKS PINK DAISY
547987,0.85,8.5,10,United Kingdom,40631,0.382638888888889,2011-03,Clothes,Shoes,CHARLOTTE BAG SUKI DESIGN
575647,4.95,59.4,12,United Kingdom,40857,0.594444444444444,2011-11,Household,Curtains,HOT WATER BOTTLE KEEP CALM
551197,2.25,2.25,1,United Kingdom,40660,0.476388888888889,2011-04,Kitchen,Cutlery,ABC TREASURE BOOK BOX 
577078,0.83,7.47,9,United Kingdom,40864,0.636805555555556,2011-11,Kitchen,Scales,WOODEN TREE CHRISTMAS SCANDINAVIAN
538349,0.85,1.7,2,United Kingdom,40522,0.624305555555556,2010-12,Household,Lamps,CARD PARTY GAMES 
567668,14.96,14.96,1,United Kingdom,40807,0.645138888888889,2011-09,Household,Lamps,PARISIENNE CURIO CABINET
581471,8.5,8.5,1,United Kingdom,40885,0.811805555555556,2011-12,Household,Curtains,IVORY KITCHEN SCALES
537144,2.95,8.85,3,United Kingdom,40517,0.541666666666667,2010-12,Household,Curtains,IVORY PILLAR CANDLE SILVER FLOCK
552677,8.29,8.29,1,United Kingdom,40673,0.629861111111111,2011-05,Clothes,Shoes,OWL DOORSTOP
547223,1.65,9.9,6,United Kingdom,40623,0.631944444444444,2011-03,Kitchen,Scales,CHILDREN'S SPACEBOY MUG
580865,2.08,2.08,1,United Kingdom,40883,0.498611111111111,2011-12,Clothes,Tops,JUMBO BAG ALPHABET
561693,1.45,17.4,12,United Kingdom,40753,0.408333333333333,2011-07,Household,Lamps,HOMEMADE JAM SCENTED CANDLES
547886,4.25,12.75,3,United Kingdom,40630,0.389583333333333,2011-03,Clothes,Tops,BROWN CHECK CAT DOORSTOP 
579508,5.79,5.79,1,United Kingdom,40876,0.689583333333333,2011-11,Garden,Seeds,GLASS JAR DIGESTIVE BISCUITS
560224,2.08,4.16,2,United Kingdom,40739,0.670833333333333,2011-07,Kitchen,Scales,JUMBO BAG DOILEY PATTERNS
565234,5.79,52.11,9,United Kingdom,40788,0.401388888888889,2011-09,Garden,Hoses,ROSES REGENCY TEACUP AND SAUCER 
545276,1.25,52.5,42,United Kingdom,40603,0.479166666666667,2011-03,Clothes,Hats,ANTIQUE SILVER TEA GLASS ENGRAVED
557645,1.63,1.63,1,United Kingdom,40715,0.713888888888889,2011-06,Clothes,Shoes,RETRO MOD TRAY
552560,2.08,20.8,10,United Kingdom,40673,0.491666666666667,2011-05,Household,Curtains,JUMBO BAG DOLLY GIRL DESIGN
536638,4.25,17,4,United Kingdom,40514,0.486805555555556,2010-12,Clothes,Shoes,RED RETROSPOT PUDDING BOWL
572023,0.85,0.85,1,United Kingdom,40836,0.460416666666667,2011-10,Clothes,Shoes,PACK OF 20 SPACEBOY NAPKINS
550210,202.42,202.42,1,United Kingdom,40648,0.444444444444444,2011-04,Household,Chairs,DOTCOM POSTAGE
545661,0.42,10.5,25,United Kingdom,40606,0.611805555555556,2011-03,Household,Rugs,WRAP ENGLISH ROSE 
542401,1.65,4.95,3,United Kingdom,40570,0.660416666666667,2011-01,Household,Rugs,WOOD STAMP SET THANK YOU
537240,3.36,23.52,7,United Kingdom,40518,0.422222222222222,2010-12,Kitchen,Coasters,CHRISTMAS PUDDING TRINKET POT 
557281,2.55,10.2,4,United Kingdom,40713,0.515972222222222,2011-06,Household,Rugs,PIGGY BANK RETROSPOT 
567183,2.89,5.78,2,United Kingdom,40804,0.647222222222222,2011-09,Kitchen,Plates,STORAGE TIN VINTAGE DOILY 
578998,1.25,1.25,1,United Kingdom,40874,0.670138888888889,2011-11,Clothes,Tops,BLUE HARMONICA IN BOX 
556812,10.79,10.79,1,United Kingdom,40708,0.725694444444444,2011-06,Household,Lamps,TEA TIME PARTY BUNTING
565233,2.46,2.46,1,United Kingdom,40788,0.398611111111111,2011-09,Garden,Turf,HEART FILIGREE DOVE  SMALL
580983,3.29,3.29,1,United Kingdom,40883,0.684722222222222,2011-12,Garden,Seeds,HEART OF WICKER SMALL
558810,4.13,20.65,5,United Kingdom,40728,0.465972222222222,2011-07,Garden,Seeds,JUMBO BAG PINK VINTAGE PAISLEY
556441,1.65,6.6,4,United Kingdom,40704,0.629861111111111,2011-06,Clothes,Shoes,GARDENERS KNEELING PAD CUP OF TEA 
544065,0.75,9,12,United Kingdom,40589,0.577777777777778,2011-02,Clothes,Shoes,ASSORTED COLOURS SILK FAN
580908,1.95,1.95,1,United Kingdom,40883,0.555555555555556,2011-12,Garden,Turf,3 STRIPEY MICE FELTCRAFT
545085,7.95,7.95,1,United Kingdom,40602,0.471527777777778,2011-02,Garden,Seeds,DOORMAT FANCY FONT HOME SWEET HOME
580877,1.25,1.25,1,United Kingdom,40883,0.510416666666667,2011-12,Garden,Rakes,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN
581439,2.46,7.38,3,United Kingdom,40885,0.6875,2011-12,Garden,Turf,HEART FILIGREE DOVE  SMALL
572321,0.62,7.44,12,United Kingdom,40840,0.374305555555556,2011-10,Household,Rugs,PACK OF 6 LARGE FRUIT STRAWS 
573543,4.95,4.95,1,United Kingdom,40847,0.545138888888889,2011-10,Clothes,Tops,RETROSPOT HEART HOT WATER BOTTLE
578270,2.46,22.14,9,United Kingdom,40870,0.56875,2011-11,Household,Curtains,TRADITIONAL MODELLING CLAY
563692,4.95,9.9,2,United Kingdom,40773,0.542361111111111,2011-08,Clothes,Tops,CHOCOLATE HOT WATER BOTTLE
562727,3.75,15,4,United Kingdom,40764,0.393055555555556,2011-08,Garden,Hoses,SET OF 6 SOLDIER SKITTLES
570288,2.1,6.3,3,United Kingdom,40826,0.490972222222222,2011-10,Household,Rugs,HAND WARMER BIRD DESIGN
541421,7.46,7.46,1,United Kingdom,40560,0.738888888888889,2011-01,Garden,Turf,GREEN FERN SKETCHBOOK 
554788,7.95,15.9,2,United Kingdom,40689,0.5,2011-05,Clothes,Tops,SWEETHEART WIRE MAGAZINE RACK
579089,0.29,0.29,1,United Kingdom,40875,0.448611111111111,2011-11,Kitchen,Plates,SET/4 BIRD MIRROR MAGNETS 
543645,1.65,4.95,3,United Kingdom,40584,0.745833333333333,2011-02,Garden,Rakes,LUNCH BAG DOLLY GIRL DESIGN
565441,0.65,3.9,6,United Kingdom,40790,0.588888888888889,2011-09,Garden,Turf,BLACK CANDELABRA T-LIGHT HOLDER
556107,0.42,10.5,25,United Kingdom,40702,0.714583333333333,2011-06,Garden,Rakes,BLUE SCANDINAVIAN PAISLEY WRAP
561231,1.95,5.85,3,United Kingdom,40750,0.430555555555556,2011-07,Clothes,Shoes,DOLLY GIRL LUNCH BOX
549714,1.25,1.25,1,United Kingdom,40644,0.592361111111111,2011-04,Clothes,Shoes,GROW A FLYTRAP OR SUNFLOWER IN TIN
559784,2.08,20.8,10,United Kingdom,40736,0.504861111111111,2011-07,Kitchen,Bowls,JUMBO BAG 50'S CHRISTMAS 
537154,3.25,26,8,United Kingdom,40517,0.545138888888889,2010-12,Kitchen,Plates,CREAM CUPID HEARTS COAT HANGER
568134,0.83,0.83,1,United Kingdom,40809,0.709722222222222,2011-09,Garden,Turf,GOLD MINI TAPE MEASURE 
575607,1.63,1.63,1,United Kingdom,40857,0.525694444444444,2011-11,Garden,Hoses,PORCELAIN ROSE SMALL
554839,4.95,29.7,6,United Kingdom,40689,0.71875,2011-05,Clothes,Hats,SPOTTY BUNTING
543256,1.25,7.5,6,United Kingdom,40578,0.6625,2011-02,Garden,Rakes,ROMANTIC PINKS RIBBONS 
575587,0.79,9.48,12,United Kingdom,40857,0.500694444444444,2011-11,Kitchen,Cooking Knives,ASS FLORAL PRINT SPIRIT LEVEL 
565350,1.25,3.75,3,United Kingdom,40788,0.6125,2011-09,Kitchen,Bowls,TRADITIONAL WOODEN CATCH CUP GAME 
570187,3.29,3.29,1,United Kingdom,40823,0.63125,2011-10,Clothes,Shoes,JAM MAKING SET PRINTED
576618,10.79,10.79,1,United Kingdom,40862,0.708333333333333,2011-11,Clothes,Tops, TRELLIS COAT RACK
539215,3.75,3.75,1,United Kingdom,40528,0.529166666666667,2010-12,Kitchen,Coasters,ALARM CLOCK BAKELIKE RED 
575491,1.25,3.75,3,United Kingdom,40856,0.740972222222222,2011-11,Household,Curtains,UNION JACK FLAG LUGGAGE TAG
575410,1.25,15,12,United Kingdom,40856,0.659722222222222,2011-11,Clothes,Tops,POCKET BAG BLUE PAISLEY RED SPOT
546220,0.55,39.6,72,United Kingdom,40612,0.511111111111111,2011-03,Clothes,Shoes,PACK OF 72 RETROSPOT CAKE CASES
569225,1.45,2.9,2,United Kingdom,40818,0.600694444444444,2011-10,Garden,Turf,PANTRY MAGNETIC  SHOPPING LIST
541221,2.46,4.92,2,United Kingdom,40557,0.602777777777778,2011-01,Kitchen,Plates,SKULLS WRITING SET 
573415,4.95,9.9,2,United Kingdom,40846,0.678472222222222,2011-10,Household,Rugs,GINGHAM RECIPE BOOK BOX
574856,4.13,4.13,1,United Kingdom,40854,0.504166666666667,2011-11,Clothes,Shoes,SET OF 5 LUCKY CAT MAGNETS 
581112,2.08,24.96,12,United Kingdom,40884,0.511805555555556,2011-12,Clothes,Hats,BICYCLE PUNCTURE REPAIR KIT 
565396,2.46,2.46,1,United Kingdom,40788,0.69375,2011-09,Clothes,Tops,ROLL WRAP VINTAGE SPOT 
545580,0.55,13.2,24,United Kingdom,40606,0.363194444444444,2011-03,Garden,Seeds,72 SWEETHEART FAIRY CAKE CASES
562085,1.45,34.8,24,United Kingdom,40757,0.51875,2011-08,Kitchen,Plates,JAM MAKING SET PRINTED
559505,2.95,35.4,12,United Kingdom,40732,0.636111111111111,2011-07,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD 
539453,25.49,25.49,1,United Kingdom,40529,0.713888888888889,2010-12,Kitchen,Plates,12 EGG HOUSE PAINTED WOOD
579142,0.85,2.55,3,United Kingdom,40875,0.545833333333333,2011-11,Clothes,Tops,CHRISTMAS RETROSPOT TREE WOOD
548309,1.65,1.65,1,United Kingdom,40632,0.501388888888889,2011-03,Garden,Seeds,PLASTERS IN TIN CIRCUS PARADE 
540703,0.42,10.5,25,United Kingdom,40554,0.415277777777778,2011-01,Household,Curtains,WRAP SUKI AND FRIENDS
546913,2.95,2.95,1,United Kingdom,40619,0.845833333333333,2011-03,Clothes,Tops,RECIPE BOX RETROSPOT 
550834,4.25,4.25,1,United Kingdom,40654,0.452083333333333,2011-04,Garden,Turf,BOX OF 6 ASSORTED COLOUR TEASPOONS
581167,2.08,20.8,10,United Kingdom,40884,0.619444444444444,2011-12,Household,Chairs,JUMBO  BAG BAROQUE BLACK WHITE
547655,1.25,15,12,United Kingdom,40626,0.536111111111111,2011-03,Household,Curtains,HOME SWEET HOME MUG
567333,0.39,9.36,24,United Kingdom,40805,0.621527777777778,2011-09,Household,Rugs,MOODY GIRL DOOR HANGER 
550211,4.13,4.13,1,United Kingdom,40648,0.445138888888889,2011-04,Household,Curtains,JUMBO SHOPPER VINTAGE RED PAISLEY
564223,4.95,14.85,3,United Kingdom,40779,0.406944444444444,2011-08,Kitchen,Cutlery,EMPIRE UNION JACK TV DINNER TRAY
563333,2.95,11.8,4,United Kingdom,40770,0.547916666666667,2011-08,Household,Lamps,PHOTO FRAME CORNICE
577058,0.83,0.83,1,United Kingdom,40864,0.603472222222222,2011-11,Household,Chairs,TOILET SIGN OCCUPIED OR VACANT
541282,1.25,7.5,6,United Kingdom,40560,0.521527777777778,2011-01,Clothes,Tops,RETRO COFFEE MUGS ASSORTED
580771,0.79,3.16,4,United Kingdom,40883,0.456944444444444,2011-12,Household,Lamps,SET OF 4 NAPKIN CHARMS CROWNS 
554538,19.95,39.9,2,United Kingdom,40687,0.740277777777778,2011-05,Clothes,Hats,SWEETHEART CREAM STEEL TABLE RECT
562851,1.65,19.8,12,United Kingdom,40765,0.422916666666667,2011-08,Kitchen,Scales,HEART FILIGREE DOVE LARGE
559338,0.83,1.66,2,United Kingdom,40731,0.6875,2011-07,Household,Lamps,SCOTTIE DOGS BABY BIB
578072,2.49,4.98,2,United Kingdom,40869,0.668055555555556,2011-11,Household,Curtains,BOX OF 6 MINI VINTAGE CRACKERS
556734,5.95,17.85,3,United Kingdom,40708,0.5,2011-06,Garden,Seeds,BLACK/BLUE POLKADOT UMBRELLA
557476,4.95,39.6,8,United Kingdom,40714,0.570138888888889,2011-06,Kitchen,Plates,PARTY BUNTING
539739,1.66,6.64,4,United Kingdom,40533,0.638194444444444,2010-12,Household,Lamps,SMALL HEART MEASURING SPOONS
581023,7.46,29.84,4,United Kingdom,40884,0.440972222222222,2011-12,Clothes,Shoes,SET 6 SCHOOL MILK BOTTLES IN CRATE
579508,3.29,3.29,1,United Kingdom,40876,0.689583333333333,2011-11,Garden,Seeds,CERAMIC CHERRY CAKE MONEY BANK
575176,0.42,0.84,2,United Kingdom,40855,0.770138888888889,2011-11,Clothes,Shoes,CARD SUKI BIRTHDAY
573876,0.55,1.1,2,United Kingdom,40848,0.533333333333333,2011-11,Household,Curtains,SET OF 60 I LOVE LONDON CAKE CASES 
559818,0.55,79.2,144,United Kingdom,40736,0.692361111111111,2011-07,Garden,Seeds,COLOUR GLASS T-LIGHT HOLDER HANGING
536409,4.95,4.95,1,United Kingdom,40513,0.489583333333333,2010-12,Kitchen,Scales,CHOCOLATE HOT WATER BOTTLE
569220,1.25,2.5,2,United Kingdom,40818,0.559722222222222,2011-10,Garden,Turf,MODERN FLORAL STATIONERY SET
